sl_no,slide_no,state,district,location_details,latitude,longitude,material_movement_history_raw
35492,UK/UTT/53J05/2015/1669,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.886268,78.307332,Rock Slide NA
35493,UK/UTT/53J01/2015/1484,Uttarakhand,Uttarkashi,,30.886944,78.239167,Rock Slide NA
35494,UK/UTT/53J05/2015/1664,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.887156,78.31106,Rock Slide NA
35495,UK/UTT/53J01/2015/1481,Uttarakhand,Uttarkashi,,30.887226,78.238807,Rock Slide NA
35496,UK/UTT/53J05/2015/1665,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.88725,78.310583,Rock Slide NA
35497,UK/UTT/53J05/2015/1666,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.887278,78.309694,Rock Slide NA
35498,UK/UTT/53J05/2015/1668,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.887676,78.30869,Rock Slide NA
35499,UK/UTT/53J05/2015/1667,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.887712,78.309466,Rock Slide NA
35500,UK/UTT/53J05/2015/1670,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.888099,78.306756,Rock Slide NA
35501,UK/UTT/53J05/2015/1794,Uttarakhand,Uttarkashi,,30.888611,78.397306,Rock Slide NA
35502,UK/UTT/53J05/2015/1661,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.888944,78.314556,Rock Slide NA
35503,UK/UTT/53J05/2015/1662,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.888968,78.313856,Rock Slide NA
35504,UK/UTT/53J05/2015/1917,Uttarakhand,Uttarkashi,,30.889167,78.322778,Rock Slide NA
35505,UK/UTT/53J01/2015/1480,Uttarakhand,Uttarkashi,,30.889722,78.243056,Rock Slide NA
35506,UK/UTT/53J01/2015/1567,Uttarakhand,Uttarkashi,,30.889763,78.08118,Rock Slide NA
35507,UK/UTT/53J05/2015/1660,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.890056,78.315694,Rock Slide NA
35508,UK/UTT/53J01/2015/1479,Uttarakhand,Uttarkashi,,30.890401,78.240413,Rock Slide NA
35509,UK/UTT/53J05/2015/1671,Uttarakhand,Uttarkashi,,30.89125,78.304306,Rock Slide NA
35510,UK/BAG/53N16/2018/03,Uttarakhand,Bageshwar,Kuwari rock slide Kuwari village,30.891317,77.043117,Rock Slide NA
